f127.0.0.1:2222,127.0.0.1:1111	852	1	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	854	0
f127.0.0.1:1111,127.0.0.1:2222	1035	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1041	0
f127.0.0.1:2222,127.0.0.1:1111	1041	1	4294967295	5	4
f127.0.0.1:2222,127.0.0.1:1111	1043	0
f127.0.0.1:1111,127.0.0.1:2222	1043	1	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1043	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1048	1
f127.0.0.1:2222,127.0.0.1:1111	1048	2	4294967295	6	4
f127.0.0.1:2222,127.0.0.1:1111	1049	1
f127.0.0.1:1111,127.0.0.1:2222	1049	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1052	1
f127.0.0.1:2222,127.0.0.1:1111	1052	2	4294967295	7	4
f127.0.0.1:2222,127.0.0.1:1111	1053	1
f127.0.0.1:1111,127.0.0.1:2222	1053	2	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1053	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1058	2
f127.0.0.1:2222,127.0.0.1:1111	1058	3	4294967295	8	4
f127.0.0.1:2222,127.0.0.1:1111	1058	2
f127.0.0.1:2222,127.0.0.1:1111	1058	-1	4294967295	8
f127.0.0.1:1111,127.0.0.1:2222	1063	1
f127.0.0.1:2222,127.0.0.1:1111	1063	2	4294967295	9	4
f127.0.0.1:2222,127.0.0.1:1111	1065	1
f127.0.0.1:1111,127.0.0.1:2222	1065	2	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1065	1
f127.0.0.1:1111,127.0.0.1:2222	1065	-1	11	0
f127.0.0.1:1111,127.0.0.1:2222	1066	2	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1066	1
f127.0.0.1:2222,127.0.0.1:1111	1067	2	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1068	1
f127.0.0.1:1111,127.0.0.1:2222	1068	2	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1069	3	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1069	2
f127.0.0.1:1111,127.0.0.1:2222	1069	-1	14	0
f127.0.0.1:1111,127.0.0.1:2222	1075	1
f127.0.0.1:2222,127.0.0.1:1111	1075	2	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1076	3	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1076	2
f127.0.0.1:1111,127.0.0.1:2222	1076	1
f127.0.0.1:2222,127.0.0.1:1111	1076	0
f127.0.0.1:2222,127.0.0.1:1111	1076	1	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1077	0
f127.0.0.1:2222,127.0.0.1:1111	1077	1	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1079	0
f127.0.0.1:2222,127.0.0.1:1111	1477	1	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1479	0
f127.0.0.1:2222,127.0.0.1:1111	1878	1	4294967295	10	4
f127.0.0.1:2222,127.0.0.1:1111	1879	0
f127.0.0.1:1111,127.0.0.1:2222	2068	1	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	2073	0
f127.0.0.1:2222,127.0.0.1:1111	2074	1	4294967295	11	4
f127.0.0.1:2222,127.0.0.1:1111	2075	0
f127.0.0.1:1111,127.0.0.1:2222	2076	1	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	2076	2	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	2076	1
f127.0.0.1:1111,127.0.0.1:2222	2076	-1	13	0
f127.0.0.1:1111,127.0.0.1:2222	2081	0
f127.0.0.1:2222,127.0.0.1:1111	2082	1	4294967295	12	4
f127.0.0.1:2222,127.0.0.1:1111	2083	0
f127.0.0.1:1111,127.0.0.1:2222	2084	1	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	2088	0
f127.0.0.1:2222,127.0.0.1:1111	2089	1	4294967295	12	4
f127.0.0.1:2222,127.0.0.1:1111	2089	0
f127.0.0.1:2222,127.0.0.1:1111	2090	1	4294967295	12	4
f127.0.0.1:2222,127.0.0.1:1111	2090	0
f127.0.0.1:2222,127.0.0.1:1111	2490	1	4294967295	12	4
f127.0.0.1:2222,127.0.0.1:1111	2491	0
f127.0.0.1:2222,127.0.0.1:1111	2890	1	4294967295	12	4
f127.0.0.1:2222,127.0.0.1:1111	2891	0
f127.0.0.1:1111,127.0.0.1:2222	3084	1	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	3089	0
f127.0.0.1:2222,127.0.0.1:1111	3090	1	4294967295	13	4
f127.0.0.1:2222,127.0.0.1:1111	3091	0
f127.0.0.1:1111,127.0.0.1:2222	3091	1	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	3092	2	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	3092	1
f127.0.0.1:1111,127.0.0.1:2222	3092	-1	15	0
f127.0.0.1:1111,127.0.0.1:2222	3097	0
f127.0.0.1:2222,127.0.0.1:1111	3098	1	4294967295	14	4
